Clase de población;Comunidades y Ciudades Autónomas;Competencias digitales;Total
Usuarios de Internet en los últimos 3 meses;Galicia;COMPETENCIAS INFORMÁTICAS: Avanzada;44,6
Usuarios de Internet en los últimos 3 meses;Madrid, Comunidad de;HABILIDADES DIGITALES: Habilidad Avanzada;47,6
Usuarios de Internet en los últimos 3 meses;Madrid, Comunidad de;HABILIDADES DE INFORMACIÓN: Avanzada;86,5
Usuarios de Internet en los últimos 3 meses;Madrid, Comunidad de;HABILIDADES DE COMUNICACIÓN: Avanzada;76,8
Usuarios de Internet en los últimos 3 meses;Madrid, Comunidad de;HABILIDADES DE RESOLUCIÓN: Avanzada;71,8
Usuarios de Internet en los últimos 3 meses;Madrid, Comunidad de;COMPETENCIAS INFORMÁTICAS: Avanzada;56,8
Usuarios de Internet en los últimos 3 meses;Murcia, Región de;HABILIDADES DIGITALES: Habilidad Avanzada;35,8
Usuarios de Internet en los últimos 3 meses;Murcia, Región de;HABILIDADES DE INFORMACIÓN: Avanzada;78,8
Usuarios de Internet en los últimos 3 meses;Murcia, Región de;HABILIDADES DE COMUNICACIÓN: Avanzada;67,5
Usuarios de Internet en los últimos 3 meses;Murcia, Región de;HABILIDADES DE RESOLUCIÓN: Avanzada;59,5
Usuarios de Internet en los últimos 3 meses;Murcia, Región de;COMPETENCIAS INFORMÁTICAS: Avanzada;44,5
Usuarios de Internet en los últimos 3 meses;Navarra, Comunidad Foral de;HABILIDADES DIGITALES: Habilidad Avanzada;39,4
Usuarios de Internet en los últimos 3 meses;Navarra, Comunidad Foral de;HABILIDADES DE INFORMACIÓN: Avanzada;83,4
Usuarios de Internet en los últimos 3 meses;Navarra, Comunidad Foral de;HABILIDADES DE COMUNICACIÓN: Avanzada;70,2
Usuarios de Internet en los últimos 3 meses;Navarra, Comunidad Foral de;HABILIDADES DE RESOLUCIÓN: Avanzada;66,0
Usuarios de Internet en los últimos 3 meses;Navarra, Comunidad Foral de;COMPETENCIAS INFORMÁTICAS: Avanzada;48,7
Usuarios de Internet en los últimos 3 meses;País Vasco;HABILIDADES DIGITALES: Habilidad Avanzada;37,4
Usuarios de Internet en los últimos 3 meses;País Vasco;HABILIDADES DE INFORMACIÓN: Avanzada;82,9
Usuarios de Internet en los últimos 3 meses;País Vasco;HABILIDADES DE COMUNICACIÓN: Avanzada;67,2
Usuarios de Internet en los últimos 3 meses;País Vasco;HABILIDADES DE RESOLUCIÓN: Avanzada;66,5
Usuarios de Internet en los últimos 3 meses;País Vasco;COMPETENCIAS INFORMÁTICAS: Avanzada;47,3
Usuarios de Internet en los últimos 3 meses;Rioja, La;HABILIDADES DIGITALES: Habilidad Avanzada;36,0
Usuarios de Internet en los últimos 3 meses;Rioja, La;HABILIDADES DE INFORMACIÓN: Avanzada;80,7
Usuarios de Internet en los últimos 3 meses;Rioja, La;HABILIDADES DE COMUNICACIÓN: Avanzada;66,5
Usuarios de Internet en los últimos 3 meses;Rioja, La;HABILIDADES DE RESOLUCIÓN: Avanzada;64,4
Usuarios de Internet en los últimos 3 meses;Rioja, La;COMPETENCIAS INFORMÁTICAS: Avanzada;46,2
Usuarios de Internet en los últimos 3 meses;Ceuta;HABILIDADES DIGITALES: Habilidad Avanzada;68,2
Usuarios de Internet en los últimos 3 meses;Ceuta;HABILIDADES DE INFORMACIÓN: Avanzada;97,2
Usuarios de Internet en los últimos 3 meses;Ceuta;HABILIDADES DE COMUNICACIÓN: Avanzada;90,2
Usuarios de Internet en los últimos 3 meses;Ceuta;HABILIDADES DE RESOLUCIÓN: Avanzada;78,9
Usuarios de Internet en los últimos 3 meses;Ceuta;COMPETENCIAS INFORMÁTICAS: Avanzada;72,7
Usuarios de Internet en los últimos 3 meses;Melilla;HABILIDADES DIGITALES: Habilidad Avanzada;27,1
Usuarios de Internet en los últimos 3 meses;Melilla;HABILIDADES DE INFORMACIÓN: Avanzada;81,4
Usuarios de Internet en los últimos 3 meses;Melilla;HABILIDADES DE COMUNICACIÓN: Avanzada;74,6
Usuarios de Internet en los últimos 3 meses;Melilla;HABILIDADES DE RESOLUCIÓN: Avanzada;43,3
Usuarios de Internet en los últimos 3 meses;Melilla;COMPETENCIAS INFORMÁTICAS: Avanzada;32,5
